,QID or create new,"Property (or label, alias, description)",Property value,Qualifier property,Qualifier value,Qualifier property,Qualifier value,Qualifier property,Qualifier value
archives at,LAST,P485,Q22096098,P1810,"""Matthew Meehan scrapbook on maritime labor history""",P217,"""6281""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/MeehanMatthew6281"""
,CREATE,,,,,,,,
Label,LAST,Len,"Mendelsohn, Peter Patrick",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Peter Patrick Mendelsohn papers""",P217,"""1285""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/MendelsohnPeterPatrick1285"""
,CREATE,,,,,,,,
Label,LAST,Len,"Miller, Charles A.",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Charles Al Miller papers""",P217,"""5966""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/MillerCharlesAl5966"""
,CREATE,,,,,,,,
Label,LAST,Len,"Miller, Elmer, 1898-1978",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Elmer Miller papers""",P217,"""1086""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/MillerElmer0808_1086"""
,CREATE,,,,,,,,
Label,LAST,Len,"Miller, J. L. (John Leonard)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""John Leonard Miller papers and oral history interview""",P217,"""2240""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/MillerJL2240"""
,CREATE,,,,,,,,
Label,LAST,Len,"Mink, Art",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Art Mink papers""",P217,"""1195""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/MinkArt1195"""
,CREATE,,,,,,,,
Label,LAST,Len,"Moisio, Wayne",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Wayne ""Waino"" Moisio papers""",P217,"""5726""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/MoisioWayne5726"""
,CREATE,,,,,,,,
Label,LAST,Len,Moving Images Video Project (Organization),,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Moving Images Video Project collection""",P217,"""6325""",P973,""""""
,CREATE,,,,,,,,
Label,LAST,Len,Musicians' Association of Seattle,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Musicians’ Association of Seattle, American Federation of Musicians Local 76-493 records""",P217,"""5685""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/MusiciansAssociationofSeattle5685"""
,CREATE,,,,,,,,
Label,LAST,Len,National Marine Engineers' Beneficial Association (U.S.),,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""National Marine Engineers' Beneficial Association records""",P217,"""0512""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/NationalMarineEngineersBeneficialAssociationUS0512"""
,CREATE,,,,,,,,
Label,LAST,Len,"Nelson, Lonnie, 1932-2014",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Lonnie Nelson papers""",P217,"""5826""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/NelsonLonnie5826"""
,CREATE,,,,,,,,
Label,LAST,Len,"Neylan, Mickey",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Mickey Neylan papers""",P217,"""4518""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/NeylanMickey4518"""
,CREATE,,,,,,,,
Label,LAST,Len,"O'Connor, Harvey, 1897-1987",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Harvey O'Connor papers""",P217,"""3799""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/OConnorHarvey3799"""
,CREATE,,,,,,,,
Label,LAST,Len,"Office and Professional Employees International Union. Local 23 (Tacoma, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Office and Professional Employees International Union, Local 23 records""",P217,"""6202""",P973,""""""
,CREATE,,,,,,,,
Label,LAST,Len,"O'Reilly, Claude",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Claude O'Reilly Scrapbook of American Federation of Labor Annual Convention in Seattle""",P217,"""6328""",P973,""""""
,CREATE,,,,,,,,
Label,LAST,Len,"Office and Professional Employees International Union. Local 8 (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Office and Professional Employees International Union, Local 8 records""",P217,"""3185""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/OfficeAndProfessionalEmployeesInternationalUnionLocal8_3185"""
,CREATE,,,,,,,,
Label,LAST,Len,"Olson, David J., 1941-2012",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""David Olson papers""",P217,"""5672""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/uarchives/OlsonDavidJUA5672"""
,CREATE,,,,,,,,
Label,LAST,Len,Seattle Opportunities Industrialization Center,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Opportunities Industrialization Center records""",P217,"""4055""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/OpportunitiesIndustrializationCenterSeattleWash4055"""
,CREATE,,,,,,,,
Label,LAST,Len,Pacific Coast Pensioners Association,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Pacific Coast Pensioners Association photographs""",P217,"""5676""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/PacificCoastPensionersAssociationILWULocalRaymondWash5676"""
,CREATE,,,,,,,,
Label,LAST,Len,Pacific Northwest Labor History Association,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Pacific Northwest Labor History Association records""",P217,"""4552""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/PacificNorthwestLaborHistoryAssociation4552"""
,CREATE,,,,,,,,
Label,LAST,Len,"Palmer, Douglas Shaw",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Douglas Shaw Palmer manuscript on Sidney Gerber""",P217,"""5780""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/PalmerDouglasShaw5780"""
,CREATE,,,,,,,,
Label,LAST,Len,"Parks, Norman B.",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Norman Parks papers""",P217,"""5967""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/ParksNorman5967"""
,CREATE,,,,,,,,
Label,LAST,Len,"Parry, Will (Labor activist)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Will Parry papers""",P217,"""5316""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/ParryWill5316"""
,CREATE,,,,,,,,
Label,LAST,Len,Pierce County Central Labor Council (Wash.),,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Pierce County Central Labor Council records""",P217,"""2882""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/PierceCountyCentralLaborCouncilWash2882"""
,CREATE,,,,,,,,
Label,LAST,Len,"Pitharoulis, Cae",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Cae Pitharoulis Manuscript and Computer Discs of ""A Personal Report""""",P217,"""5829""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/PitharoulisCae5829"""
,CREATE,,,,,,,,
Label,LAST,Len,Puget Sound Advocates for Retirement Action,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Puget Sound Advocates for Retirement Action records""",P217,"""5803""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/PugetSoundCouncilRetiredCitizens5803"""
,CREATE,,,,,,,,
Label,LAST,Len,RIDGE (Organization),,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""RIDGE records""",P217,"""6295""",P973,""""""
,Q7280468,,,,,,,,
Label,Q7280468,Len,Radical Women,,,,,,
on focus list of Wikimedia project,Q7280468,P5008,Q98970039,,,,,,
archives at,Q7280468,P485,Q22096098,P1810,"""Radical Women National Office (Seattle) records""",P217,"""6291""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/RadicalWomen6291"""
,CREATE,,,,,,,,
Label,LAST,Len,Radical Women. Seattle Office,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Radical Women Seattle Office records""",P217,"""6292""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/RadicalWomenSeattle6292"""
,CREATE,,,,,,,,
Label,LAST,Len,"Ranta, Toivo",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Toivo Ranta photographs and papers""",P217,"""6219""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/RantaToivo6219"""
,CREATE,,,,,,,,
Label,LAST,Len,"Retail Clerks International Protective Association. Local 186 (Enumclaw, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Retail Clerks International Protective Association minutes""",P217,"""5402""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/RetailClerksInternationalProtectiveAssociationLocalEnumclawWash5402"""
,CREATE,,,,,,,,
Label,LAST,Len,"Rice, Rick, 1940-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Rick Rice papers""",P217,"""5827""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/RiceRick5827"""
,CREATE,,,,,,,,
Label,LAST,Len,"Rieder, Ross K.",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Ross Rieder Audio and Video Collection""",P217,"""5930""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/RiederRoss5930"""
,CREATE,,,,,,,,
Label,LAST,Len,"Rivera, Guillermo",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Guillermo ""Memo"" Rivera collection of SEIU 775 and Working Washington records""",P217,"""5893""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/RiveraGuillermo5893"""
,CREATE,,,,,,,,
Label,LAST,Len,"Robin, Joshua",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Joshua Robin papers""",P217,"""5305""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/RobinJoshua5305"""
,CREATE,,,,,,,,
Label,LAST,Len,"Rojo, Trinidad",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Trinidad Rojo papers""",P217,"""3586""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/RojoTrinidad3586"""
,CREATE,,,,,,,,
Label,LAST,Len,"Rosenblum, Jonathan, 1961-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Jonathan Rosenblum papers""",P217,"""5719""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/RosenblumJonathanD5719"""
,CREATE,,,,,,,,
Label,LAST,Len,"Schwantes, Carlos A., 1945-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Carlos A. Schwantes papers""",P217,"""2619""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/SchwantesCarlosA2619"""
,CREATE,,,,,,,,
Label,LAST,Len,"Scott, Tyree, 1940-2003",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Tyree Scott papers""",P217,"""5245""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/ScottTyree5245"""
,Q22096098,,,,,,,,
Label,Q22096098,Len,Labor Archives of Washington (University of Washington),,,,,,
on focus list of Wikimedia project,Q22096098,P5008,Q98970039,,,,,,
archives at,Q22096098,P485,Q22096098,P1810,"""SeaTac Seattle Minimum Wage History Project records""",P217,"""6025""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/SeaTacSeattleMinimumWageProject6025"""
,CREATE,,,,,,,,
Label,LAST,Len,"Searles, Gordon",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Gordon Searles collection on Washington State Printers' lockout""",P217,"""6280""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/SearlesGordan6280"""
,Q7442083,,,,,,,,
Label,Q7442083,Len,Seattle Civil Rights and Labor History Project,,,,,,
on focus list of Wikimedia project,Q7442083,P5008,Q98970039,,,,,,
archives at,Q7442083,P485,Q22096098,P1810,"""Seattle Civil Rights and Labor History Project records""",P217,"""5571""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/SeattleCivilRightsandLaborHistoryProject5571"""
,CREATE,,,,,,,,
Label,LAST,Len,Seattle Education Association,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Seattle Education Association records""",P217,"""4217""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/SeattleEducationAssociation4217"""
,CREATE,,,,,,,,
Label,LAST,Len,"Seattle Teachers' Association (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Seattle Teachers' Association records""",P217,"""1402""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/SeattleTeachersAssociationSeattleWash1402"""
,CREATE,,,,,,,,
Label,LAST,Len,"Seattle Union Record (Seattle, Wash. : 1918)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Seattle Union Record business records""",P217,"""4312""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/SeattleUnionRecord4312"""
,CREATE,,,,,,,,
Label,LAST,Len,Seattle Worker Center,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Seattle Worker Center records""",P217,"""5570""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/SeattleWorkerCenter5570"""
,CREATE,,,,,,,,
Label,LAST,Len,"Service Employees International Union. Local 120 (Everett, Wash)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Service Employees International Union, Local 120 records""",P217,"""5576""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/ServiceEmployeesInternationalUnionLocal120EverettWash5576"""
,CREATE,,,,,,,,
Label,LAST,Len,"Ship Scalers, Dry Dock, and Boat Yard Workers Union, Local 541 (Seattle, Washington)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Ship Scalers Dry Dock and Boat Yard Workers Union, Local 541 Records""",P217,"""4571""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/ShipScalersDryDockandBoatYardWorkersUnion4571"""
,CREATE,,,,,,,,
Label,LAST,Len,"Simer, Jeremy",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Jeremy Simer papers""",P217,"""5142""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/SimerJeremy5142"""
,CREATE,,,,,,,,
Label,LAST,Len,"Simpson, Roger, 1937-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Roger A. Simpson papers""",P217,"""4165""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/uarchives/SimpsonRogerUA4165"""
,CREATE,,,,,,,,
Label,LAST,Len,"Sims, Beverly E.",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Beverly Sims papers""",P217,"""6203""",P973,""""""
,CREATE,,,,,,,,
Label,LAST,Len,Skowronek (Family : Emil Skowronek : 1920-1979),,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Skowronek Family papers""",P217,"""5849""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/SkowronekFamily5849"""
,CREATE,,,,,,,,
Label,LAST,Len,"Smith, James M., 1949-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""James M. Smith audio recordings and papers""",P217,"""6211""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/SmithJamesM6211"""
,CREATE,,,,,,,,
Label,LAST,Len,Socialist Labor Party (Wash.). Seattle Section,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Socialist Labor Party Seattle Section records""",P217,"""3180""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/SocialistLaborPartyWashSeattleSection3180"""
,CREATE,,,,,,,,
Label,LAST,Len,"Starkovich, George",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""George Starkovich ephemera collection""",P217,"""0305""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/StarkovichGeorge0305"""
,CREATE,,,,,,,,
Label,LAST,Len,"Stedman, Vernon R.",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Vernon R. Stedman Papers""",P217,"""4661""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/StedmanVernon4661"""
,CREATE,,,,,,,,
Label,LAST,Len,"Stein, Ben, approximately 1890-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Ben Stein papers""",P217,"""1916""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/SteinBen1916"""
,CREATE,,,,,,,,
Label,LAST,Len,"Stone, Jen",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Jen Stone WTO Seattle Protests collection""",P217,"""6225""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/StoneJenProtestsCo6225"""
,CREATE,,,,,,,,
Label,LAST,Len,Tacoma Civic Ballet,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Tacoma Civic Ballet records""",P217,"""5943""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/TacomaCivicBallet5943"""
,CREATE,,,,,,,,
Label,LAST,Len,"Temcov, Joanne L. (Joanne Little)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Joanne Temcov papers""",P217,"""6040""",P973,""""""
,CREATE,,,,,,,,
Label,LAST,Len,"Thode, Kay",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Kay Thode Papers""",P217,"""5353""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/ThodeKay5353"""
,CREATE,,,,,,,,
Label,LAST,Len,"Tippett, Tom",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Tom Tippett manuscript""",P217,"""5618""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/TippettTom5618"""
,CREATE,,,,,,,,
Label,LAST,Len,"Tuohy, Albert, 1895-1966",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Albert Tuohy papers""",P217,"""5814""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/TuohyAlbert5814"""
,CREATE,,,,,,,,
Label,LAST,Len,Twin City Central Labor Union,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Twin City Central Labor Union minutes""",P217,"""5727""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/TwinCityCentralLaborUnion5727"""
,CREATE,,,,,,,,
Label,LAST,Len,"Tyler, Jerry, 1911-2005",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Jerry Tyler papers""",P217,"""5553""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/TylerJerry5553"""
,CREATE,,,,,,,,
Label,LAST,Len,"International Typographical Union. Local 99 (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""International Typographical Union Local 99 records""",P217,"""3178""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/TypographicalUnionInternationalLocal99Northwest3178"""
,CREATE,,,,,,,,
