,QID or create new,"Property (or label, alias, description)",Property value,Qualifier property,Qualifier value,Qualifier property,Qualifier value,Qualifier property,Qualifier value
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Potenciano Parin Columna digitized scrapbook""",P217,"""5744""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/ColumnaPotencianoParin5744"""
,CREATE,,,,,,,,
Label,LAST,Len,"Copeland, Tom, 1950-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Tom Copeland research materials on Elmer Smith and the Centralia Tragedy""",P217,"""2021""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/CopelandTom2021"""
,CREATE,,,,,,,,
Label,LAST,Len,"Cornish, Megan",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Megan Cornish papers""",P217,"""6259""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/CornishMegan6259"""
,CREATE,,,,,,,,
Label,LAST,Len,"Corr, Cecilia, 1914-2006",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""William and Cecilia Corr papers""",P217,"""5501""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/CorrCecilia5501"""
,CREATE,,,,,,,,
Label,LAST,Len,"Costantini, Peter",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Peter Costantini manuscript of ""The Whacking of Ship Scalers Local 541""""",P217,"""6216""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/CostantiniLocal541_6216"""
,CREATE,,,,,,,,
Label,LAST,Len,"Coughlin, Gilbert",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Gilbert Coughlin labor button collection""",P217,"""5708""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/CoughlinGilbert5708"""
,CREATE,,,,,,,,
Label,LAST,Len,"Daschbach, John S.",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""John S. Daschbach papers""",P217,"""3050""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/DaschbachJohnS3050"""
,CREATE,,,,,,,,
Label,LAST,Len,"Deal, Clyde W.",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Clyde W. Deal papers""",P217,"""1596""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/DealClydeW1596"""
,CREATE,,,,,,,,
Label,LAST,Len,Deep Sea Fishermen's Union of the Pacific,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Deep Sea Fishermen's Union of the Pacific records""",P217,"""6144""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/filename"""
,CREATE,,,,,,,,
Label,LAST,Len,"Dennett, Eugene V., 1908-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Eugene V. Dennett papers""",P217,"""3917""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/DennettEugeneV3917"""
,CREATE,,,,,,,,
Label,LAST,Len,"Domingo, Cindy",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Cindy Domingo papers""",P217,"""5651""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/DomingoCindy5651"""
,CREATE,,,,,,,,
Label,LAST,Len,"Donahoe, Ed",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Oral history interview with Ed Donahoe""",P217,"""2073""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/DonahoeEd2073"""
,CREATE,,,,,,,,
Label,LAST,Len,"Douglas, Jim 1946-2017",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Jim Douglas papers""",P217,"""5906""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/DouglasJames5906"""
,CREATE,,,,,,,,
Label,LAST,Len,"Duggan, Robert D., 1932-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Robert Duggan papers""",P217,"""5677""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/DugganRobertD5677"""
,CREATE,,,,,,,,
Label,LAST,Len,"Durham, Heidi",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Heidi Durham papers and oral history interviews""",P217,"""6264""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/DurhamHeidi6264"""
,CREATE,,,,,,,,
Label,LAST,Len,"Elkins, Morris",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Morris Elkins papers""",P217,"""4087""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/ElkinsMorris4087"""
,CREATE,,,,,,,,
Label,LAST,Len,"Everett Education Association (Everett, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Everett Education Association records""",P217,"""3849""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/EverettEducationAssociation3849"""
,CREATE,,,,,,,,
Label,LAST,Len,"Eyer, John H.,  -1986",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""John H. Eyer papers""",P217,"""3932""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/EyerJohnH3932"""
,CREATE,,,,,,,,
Label,LAST,Len,"Eyer, Rosa M., 1910-1997",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Rosa M. Eyer papers""",P217,"""6178""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/EyerRosaM6178"""
,CREATE,,,,,,,,
Label,LAST,Len,Familias Unidas por la Justicia,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Familias Unidas por la Justicia records and ephemera""",P217,"""6251""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/FamiliasUnidasporlaJusticia6251"""
,CREATE,,,,,,,,
Label,LAST,Len,"Farmers' Union (Walla Walla, Washington Territory)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Farmers' Union records""",P217,"""4724""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/FarmersUnionWallaWallaWashingtonTerritory4724"""
,CREATE,,,,,,,,
Label,LAST,Len,"Flynn, Leo F., 1885-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Leo F. Flynn papers""",P217,"""1540""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/FlynnLeoF1540"""
,CREATE,,,,,,,,
Label,LAST,Len,"Fox, Michael J. (Michael James), 1944-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
